id,FIPS,COUNTY,TESTED,POISONED5,PERC_POISONED5,POISONED10,PERC_POISONED_10_and_up,perc_poisoned_5_and_up,built_before_1950_pct,built_before_1980_pct,pop_under_6_years
1,55001,Adams,112,3,2.6786,0,0,2.6785714286,7.7011560361,32.0871915799,1017
2,55003,Ashland,161,4,2.4845,2,1.2422,3.7267080745,38.9844559585,62.2487046632,1211
3,55005,Barron,173,2,1.1561,1,0.578,1.7341040462,28.0642434489,52.9078613694,3308
4,55007,Bayfield,86,2,2.3256,1,1.1628,3.488372093,22.4439856236,46.9603119982,805
5,55009,Brown,2070,25,1.2077,6,0.2899,1.4975845411,17.4530306895,45.039530732,20451
6,55011,Buffalo,72,8,11.1111,2,2.7778,13.8888888889,37.2047832586,59.4319880419,935
7,55013,Burnett,61,1,1.6393,0,0,1.6393442623,16.2054039874,42.2284889822,949
8,55015,Calumet,119,5,4.2017,1,0.8403,5.0420168067,19.6474439688,39.2999244523,4192
9,55017,Chippewa,349,6,1.7192,2,0.5731,2.2922636103,27.3042779381,53.048624557,4940
10,55019,Clark,144,1,0.6944,0,0,0.6944444444,35.2600771584,60.3498736198,3493
11,55021,Columbia,260,12,4.6154,2,0.7692,5.3846153846,28.7527720425,49.9770589585,4146
12,55023,Crawford,60,0,0,1,1.6667,1.6666666667,31.9627442072,53.1917310313,1132
13,55025,Dane,2108,25,1.186,6,0.2846,1.4705882353,15.8475692285,42.2632329809,36450
14,55027,Dodge,505,24,4.7525,5,0.9881,5.7425742574,34.8013584173,55.2045711821,6104
15,55029,Door,192,4,2.0833,1,0.5208,2.6041666667,23.8873939143,44.8105982198,1505
16,55031,Douglas,318,2,0.6289,2,0.6289,1.2578616352,34.9407080033,59.2438629502,3087
17,55033,Dunn,136,4,2.9412,1,0.7353,3.6764705882,23.7926057511,45.1260131009,2920
18,55035,Eau Claire,684,6,0.8772,4,0.5848,1.4619883041,23.8769852457,50.7776524763,6994
19,55037,Florence,8,1,12.5,0,0,12.5,17.8503688093,44.2149631191,231
20,55039,Fond du Lac,706,25,3.5411,5,0.7082,4.2492917847,30.8233272279,55.2676209212,7211
21,55041,Forest,42,0,0,0,0,0,20.4900765052,45.3154451713,611
22,55043,Grant,183,2,1.0929,2,1.0929,2.1857923497,34.4549435354,61.1062456787,3610
23,55045,Green,208,12,5.7692,1,0.4808,6.25,33.2681388013,56.4479495268,2854
24,55047,Green Lake,116,9,7.7586,2,1.7241,9.4827586207,31.0033821871,57.0086433672,1363
25,55049,Iowa,68,1,1.4706,1,1.4706,2.9411764706,35.4913833256,52.3707498836,1952
26,55051,Iron,32,0,0,0,0,0,27.0207080828,55.5611222445,257
27,55053,Jackson,112,0,0,1,0.8929,0.8928571429,30.7455960672,50.6861941827,1501
28,55055,Jefferson,555,34,6.1261,5,0.8993,7.027027027,31.5417376491,53.9721749006,6366
29,55057,Juneau,191,5,2.6178,0,0,2.6178010471,20.9712425393,43.1565382528,1761
30,55059,Kenosha,1183,42,3.5503,13,1.097,4.6491969569,25.1928723588,50.9859519834,13243
31,55061,Kewaunee,76,0,0,1,1.3158,1.3157894737,37.0978120978,58.0759330759,1434
32,55063,La Crosse,658,17,2.5836,1,0.152,2.73556231,23.6240786241,49.9590499591,8079
33,55065,Lafayette,65,4,6.1538,2,3.0769,9.2307692308,42.7860696517,66.7081260365,1430
34,55067,Langlade,80,2,2.5,0,0,2.5,29.5074011162,54.4932459759,1248
35,55069,Lincoln,189,3,1.5873,0,0,1.5873015873,26.8602648613,52.7228457747,1775
36,55071,Manitowoc,526,18,3.4221,6,1.1407,4.5627376426,37.6869284562,62.8725121033,5515
37,55073,Marathon,725,20,2.7586,2,0.2759,3.0344827586,24.8656099242,50.0172294969,10455
38,55075,Marinette,203,6,2.9557,1,0.4926,3.4482758621,23.5228245834,50.5928463211,2543
39,55077,Marquette,70,0,0,0,0,0,24.4158996662,47.3652270658,967
40,55078,Menominee,74,0,0,0,0,0,8.4342560554,33.4342560554,479
41,55079,Milwaukee,23734,1604,6.7582,515,2.1698,8.9281199966,41.1517442292,72.5533753522,82395
42,55081,Monroe,332,11,3.3133,1,0.3012,3.6144578313,26.3897467573,49.8816141651,3870
43,55083,Oconto,139,6,4.3165,0,0,4.3165467626,22.9438145202,44.9568454899,2570
44,55085,Oneida,149,2,1.3423,0,0,1.3422818792,15.1741457934,43.9362897363,2033
45,55087,Outagamie,599,13,2.1703,2,0.3339,2.5041736227,20.7844935727,45.255405533,14124
46,55089,Ozaukee,263,6,2.2814,0,0,2.2813688213,15.3886252023,46.6624598754,5603
47,55091,Pepin,40,0,0,1,2.5,2.5,32.1309655938,55.6881243063,566
48,55093,Pierce,147,2,1.3605,1,0.6803,2.0408163265,26.2197002405,47.542095849,2929
49,55095,Polk,189,2,1.0582,1,0.5291,1.5873015873,22.4400691985,45.8110223247,3271
50,55097,Portage,403,7,1.737,3,0.7444,2.4813895782,22.0156167284,46.9527527792,4649
51,55099,Price,78,0,0,0,0,0,30.1693687166,55.0584186215,754
52,55101,Racine,2442,130,5.3235,26,1.0647,6.3882063882,30.0487698089,57.330673899,15313
53,55103,Richland,79,3,3.7975,0,0,3.7974683544,38.4390134024,60.232008109,1431
54,55105,Rock,1337,86,6.4323,19,1.42,7.8534031414,29.2564473896,54.9553107766,12571
55,55107,Rusk,82,4,4.878,0,0,4.8780487805,30.7632137669,54.4977092413,959
56,55109,Saint Croix,257,4,1.5564,0,0,1.5564202335,16.0775736366,33.0008748906,7591
57,55111,Sauk,352,2,0.5682,0,0,0.5681818182,25.5588373498,42.5991810432,4740
58,55113,Sawyer,83,0,0,0,0,0,16.297310757,41.1852589641,1150
59,55115,Shawano,197,3,1.5228,0,0,1.5228426396,31.5240486768,55.0898203593,2981
60,55117,Sheboygan,675,40,5.9259,6,0.8889,6.8148148148,33.793565948,58.9281839878,8612
61,55119,Taylor,88,1,1.1364,0,0,1.1363636364,27.3980362538,50.3209969789,1649
62,55121,Trempealeau,197,5,2.5381,1,0.5076,3.0456852792,33.5067801955,56.9930621255,2269
63,55123,Vernon,142,3,2.1127,0,0,2.1126760563,35.7474938254,55.5934912102,2603
64,55125,Vilas,125,1,0.8,0,0,0.8,17.6542721519,46.0403481013,1162
65,55127,Walworth,469,10,2.1322,2,0.4264,2.5586353945,24.4079227877,47.6685142835,7566
66,55129,Washburn,69,2,2.8986,0,0,2.8985507246,20.0169178714,41.7102430022,1040
67,55131,Washington,295,5,1.6949,1,0.339,2.0338983051,15.8664223911,40.8659689093,9878
68,55133,Waukesha,1957,29,1.4819,7,0.3577,1.8395503321,12.2427639802,42.1520585069,26480
69,55135,Waupaca,151,8,5.298,1,0.6623,5.9602649007,26.8339692405,48.8337332337,3538
70,55137,Waushara,155,5,3.2258,0,0,3.2258064516,23.6969371306,49.7178936056,1422
71,55139,Winnebago,628,31,4.9363,3,0.4777,5.4140127389,26.9614023671,51.4119927875,11835
72,55141,Wood,511,4,0.7828,0,0,0.782778865,24.3903152231,54.6640154395,5326
